"","r","med4"
"355",110.625,0.500864347781283
"356",110.9375,0.497453055651413
"357",111.25,0.494035057485335
"358",111.5625,0.490613827561921
"359",111.875,0.487192159211142
"360",112.1875,0.483773215877622
"361",112.5,0.480360244155886
"362",112.8125,0.476955709862697
"363",113.125,0.47356306957954
"364",113.4375,0.470186761784639
"365",113.75,0.46682803889447
"366",114.0625,0.463489767781443
"367",114.375,0.460178992824668
"368",114.6875,0.456894871591532
"369",115,0.45364010050071
"370",115.3125,0.450421784257792
"371",115.625,0.447240021545957
"372",115.9375,0.444096011919815
"373",116.25,0.440995788050439
"374",116.5625,0.437941929119136
"375",116.875,0.434933282288119
"376",117.1875,0.431974002576658
"377",117.5,0.429070239616552
"378",117.8125,0.426217857318703
"379",118.125,0.4234184903127
"380",118.4375,0.420682627690511
"381",118.75,0.418002726087882
"382",119.0625,0.415379831268813
"383",119.375,0.41282206282588
"384",119.6875,0.410325374666491
"385",120,0.407887863432307
"386",120.3125,0.405514677475918
