,smallcell vs. smallcell,smallcell vs. largecell,largecell vs. smallcell,largecell vs. largecell
151,1.0194170225676218,1.2919785843570684e-18,1.286584932178532e-16,0.0
152,1.0194170225676213,1.4132960090036405e-16,8.294817907744855e-17,9.441370560424617e-17
153,1.0194170225676216,1.160754425026546e-16,6.964526550159275e-17,0.0
154,1.0194170225676213,2.1487247476971774e-17,1.0227779719817036e-16,0.0
155,1.0194170225676216,1.1296654582085927e-17,3.73901736920505e-17,3.023346075880646e-17
156,1.0194170225676213,0.0,2.610207048871356e-16,6.408849455117432e-17
157,1.0194170225676213,0.0,4.650185083097059e-17,1.4419300041187797e-16
158,1.0194170225676216,1.0879553545771139e-16,2.5385624940132654e-16,7.484837420650726e-18
159,1.0194170225676213,0.0,4.499902729439248e-16,1.0028321565058949e-17
160,1.0194170225676213,1.2569514548467805e-16,9.500311000925093e-17,1.2084103929026206e-16
161,1.0194170225676213,0.0,9.237820045326905e-17,6.271656851253518e-17
162,1.0194170225676211,1.5597521130932924e-16,6.424429512482927e-18,0.0
163,1.0194170225676211,8.607212916492858e-18,2.492863438668391e-16,0.0
164,1.0194170225676213,1.3523366013398463e-16,5.795728291456485e-17,0.0
165,1.0194170225676207,8.997979427873117e-17,1.1997305903830822e-16,1.6814519806351638e-17
166,1.0194170225676216,8.001591706265305e-17,0.0,5.012599059354892e-19
167,1.0194170225676213,0.0,5.4889178993864266e-17,0.0
168,1.0194170225676213,7.423469256283577e-17,1.265753199340716e-16,8.734158549307056e-17
169,1.0194170225676211,6.436571135317022e-17,2.319671738719665e-16,1.0409142382895496e-16
170,1.0194170225676213,0.0,1.3630853188888724e-16,2.71183155511237e-16
171,1.0194170225676216,1.3293443146109453e-17,0.0,2.1497990087848878e-17
172,1.0194170225676211,0.0,6.39311986623868e-17,5.775518822517555e-17
173,1.0194170225676211,2.1101502411505614e-16,1.5332131757418742e-16,2.190937006120859e-17
174,1.0194170225676211,5.087304240039014e-18,2.2217555860978634e-16,2.0567812064220204e-17
175,1.0194170225676213,9.569344642942121e-17,9.444342173071363e-17,2.8511039932685887e-17
176,1.0194170225676211,1.8790647371119642e-16,3.40584930934001e-16,0.0
177,1.0194170225676211,6.269376658950065e-16,7.415806905272504e-16,1.7574599699997956e-16
178,1.0194170225676213,1.506332426867772e-15,1.7429744185936239e-15,1.601809551723079e-16
179,1.0194170225676211,3.896061090138495e-15,3.75436170302156e-15,1.3534727451261818e-16
180,1.0194170225676207,8.779409963277312e-15,8.597528743780196e-15,0.0
181,1.0194170225676207,1.9447190415095594e-14,1.8401794041482397e-14,2.0838045439756055e-16
182,1.0194170225676205,4.3719568927116306e-14,4.21474666305056e-14,7.778838422369115e-18
183,1.0194170225676193,9.741686524107802e-14,9.37753560434415e-14,4.1988697036287425e-17
184,1.0194170225676171,2.1096051225559096e-13,2.0315460328295548e-13,0.0
185,1.019417022567613,4.4925875964391487e-13,4.32581322955214e-13,0.0
186,1.0194170225676027,9.75043730265204e-13,9.382280348662588e-13,2.1479810710323346e-17
187,1.0194170225675823,2.0699838863471056e-12,1.9922785091419638e-12,2.6498704710045966e-17
188,1.0194170225675399,4.291291532739789e-12,4.131689013899922e-12,1.2252204359385927e-18
189,1.0194170225674537,8.838487838908337e-12,8.511588846914433e-12,8.038052168639925e-19
190,1.0194170225672736,1.8324872808181385e-11,1.765241982727117e-11,8.64172785894265e-17
191,1.0194170225669155,3.7197265887948056e-11,3.5842315244112206e-11,0.0
192,1.0194170225662205,7.382536309415262e-11,7.115645325693786e-11,0.0
193,1.0194170225648325,1.469483595653746e-10,1.4167709080622012e-10,0.0
194,1.0194170225620933,2.9124201921790546e-10,2.8087838584066553e-10,1.3027450571371252e-17
195,1.0194170225568842,5.656252179081407e-10,5.456569403964994e-10,0.0
196,1.0194170225472061,1.0753189351638017e-09,1.0376507031877122e-09,1.2409167889229893e-16
197,1.0194170225283976,2.0656982307075163e-09,1.993945447841079e-09,4.7615858740429377e-17
198,1.0194170224932597,3.915628272269255e-09,3.780775169243504e-09,3.057851468211126e-17
199,1.019417022429343,7.2802077588134834e-09,7.03159317633188e-09,2.925330066606221e-17
200,1.0194170223149441,1.3301267819954743e-08,1.2850834251070936e-08,2.5620533013638376e-18
201,1.0194170221009164,2.4564083421356302e-08,2.3739875120838252e-08,0.0
202,1.019417021720865,4.456034176981606e-08,4.307889871141422e-08,3.2984537415084675e-17
203,1.0194170210591933,7.936847697230983e-08,7.675386036082465e-08,0.0
204,1.0194170199073465,1.399529890811479e-07,1.353854514495695e-07,2.1922513382591653e-16
205,1.01941701786646,2.472799121855207e-07,2.392902985084102e-07,2.3371297286623303e-16
206,1.0194170144001082,4.2953836925970097e-07,4.1579922220026605e-07,0.0
207,1.0194170086211023,7.333431533587229e-07,7.101215623251422e-07,2.9274465091995797e-17
208,1.0194169988570234,1.24655213355336e-06,1.2074947444486078e-06,3.3871547740124244e-17
209,1.01941698246094,2.108181703706653e-06,2.0428598456051736e-06,9.694959063732969e-17
210,1.0194169558166863,3.508102287853159e-06,3.4006194848355794e-06,7.791501520891551e-17
211,1.0194169132678566,5.74325717855932e-06,5.569268425638474e-06,7.421906551069861e-18
212,1.0194168436603126,9.399101398673484e-06,9.117805023765335e-06,2.4080535569477708e-17
213,1.0194167327989119,1.522043179997412e-05,1.4770629599837886e-05,0.0
214,1.0194165603929592,2.4271619141786283e-05,2.3563458353385e-05,6.339510222777014e-17
215,1.019416296609053,3.811727073188576e-05,3.701944104309624e-05,4.742279935600231e-19
216,1.0194158797693862,5.999147885593287e-05,5.828813850073087e-05,3.243071423964721e-16
217,1.0194152494541284,9.30605897436759e-05,9.045665675816035e-05,1.183933279251738e-16
218,1.0194143110280562,0.0001422833123332579,0.0001383610326709504,1.1828240296241304e-16
219,1.0194129218894368,0.00021512981911620243,0.0002092903729668026,6.904690812283959e-18
220,1.0194108388328356,0.00032433668585349357,0.00031567986444633713,1.596866488564431e-16
221,1.0194078254561902,0.00048227614392688296,0.000469624889197355,1.3879559078119208e-16
222,1.0194035280483187,0.0007074567379669498,0.0006892260098420694,0.0
223,1.019397382479913,0.001029389762338726,0.001003359315441475,0.0
224,1.0193886313441123,0.0014876773534643858,0.0014508142797084965,1.4468512016454222e-16
225,1.0193765099106107,0.0021222762343769378,0.0020707837662502747,1.5842360101445956e-16
226,1.0193599417327603,0.0029894173211670034,0.0029184490869435414,1.5227367573041986e-16
227,1.0193370944139282,0.004184796940747516,0.004087766966535901,2.383019795216109e-16
228,1.01930615456641,0.0058030258719284486,0.005671812253449408,1.4596344476533457e-16
229,1.019265097091497,0.007949694012291666,0.007774592766598201,2.0680924535270609e-16
230,1.019211284349772,0.010762280436333354,0.010531625111021271,2.2692987693885666e-16
231,1.019139869376845,0.0144933778004396,0.014191977444915705,6.628360818529711e-17
232,1.0190477597291308,0.019303779176591936,0.01891492460719128,1.0058149265196887e-16
233,1.0189306115182257,0.025419363953167858,0.024924179659275004,1.1243479584081485e-16
234,1.0187828993639165,0.03312730264524883,0.03250444893819546,5.050079409208848e-17
235,1.0185956605948385,0.04289325998505877,0.04211770419793862,1.7344196223962233e-17
236,1.0183647695819782,0.054930556397860125,0.053977627616181446,1.7372015305732078e-16
237,1.0180832836884506,0.06959877372241789,0.06844320027174947,1.608732280706658e-16
238,1.0177416805860766,0.08739093539448513,0.08600695969538154,1.2704727986578546e-16
239,1.01732952150763,0.1088466218489331,0.10720973786015725,1.4047220800120333e-16
240,1.0168426343427328,0.1341793658488316,0.13226981542712327,6.225447501521304e-17
241,1.0162737517623102,0.16376287782918167,0.16156565052051752,1.7169426872578693e-16
242,1.0156109136014135,0.19821294975759937,0.1957193282448924,3.899654149596534e-18
243,1.0148489122697157,0.23779432825694097,0.23500508757630764,1.9691804134582398e-16
244,1.0139868409303618,0.28254896370511845,0.27947483575125226,1.6303716470554929e-16
245,1.013021941627048,0.3326143501325238,0.3292765272167936,7.501456778393834e-17
246,1.011945379628416,0.388440614067377,0.38487443014040107,4.77715695335569e-17
247,1.0107649857749648,0.4496175855363507,0.44586822250360353,1.2185515586404887e-16
248,1.0094866771982114,0.5158349810662988,0.5119557646676173,0.0
